"sector_de_actividad_económica","anio","vab_pb","provincia"
"Fabricación de vehículos automotores, remolques y semirremolques","2010","427987311.58255","CABA"
"Fabricación de equipo de transporte n.c.p.","2010","84508818.43118","CABA"
"Fabricación de muebles y colchones; industrias manufactureras n.c.p.","2010","674395275.01435","CABA"
"Reciclamiento","2010","14959840.64399","CABA"
"Reparación, mantenimiento e instalación de maquinas y equipos","2010","299806591.78246","CABA"
"Generación captación y distribución de energía eléctrica","2010","1264217871.92488","CABA"
"Fabricación de gas ; distribución de combustibles gaseosos por tuberías","2010","214699948.71028","CABA"
"Captación , depuración y distribución de agua","2010","458809631.21838","CABA"
"Construcción","2010","4264090449.47544","CABA"
"Comercio mayorista, minorista y reparaciones","2010","18444272097.30483","CABA"
"Hoteles; campamentos y otros tipos de hospedaje temporal","2010","734494188.88851","CABA"
"Restaurantes, bares y cantinas","2010","2633506962.41906","CABA"
"Transporte","2010","5537027939.62813","CABA"
"Comunicaciones","2010","8522805241.99057","CABA"
"Intermediación financiera y otros servicios financieros","2010","9141949648.29495","CABA"
"Servicios de seguros","2010","2648823736.20199","CABA"
"Servicios auxiliares a la actividad financiera","2010","1165451929.00022","CABA"
"Propiedad de la vivienda","2010","5551169923.43120","CABA"
"Resto","2010","17986165800.05632","CABA"
"Administración pública y defensa; Planes de seguridad social de afiliación obligatoria","2010","6339471989.60274","CABA"
"Enseñanza pública","2010","1834008861.44931","CABA"
"Enseñanza privada","2010","1601486804.57615","CABA"
"Salud pública","2010","1135024519.00786","CABA"
"Salud privada","2010","4370642866.29214","CABA"
"Eliminación de desperdicios y aguas residuales, saneamiento y servicios similares","2010","731433199.30083","CABA"
"Asociaciones","2010","2330759163.84367","CABA"
"Servicios culturales y deportivos. Otras actividades","2010","3367203972.76839","CABA"
"Servicio doméstico","2010","1165491458.60873","CABA"
"Agricultura, ganaderia, caza y servicios conexos","2011","205098649.26241","CABA"
"Silvicultura, extracción de madera y servicios conexos","2011","184203.60434","CABA"
"Pesca","2011","29307631.98283","CABA"
"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.","2011","681158462.15206","CABA"
"Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.","2011","151014941.78174","CABA"
"Elaboración de productos alimenticios y bebidas","2011","2940220959.06513","CABA"
"Elaboración de productos de tabaco","2011","61090869.06276","CABA"
"Fabricación de productos textiles","2011","829526210.95680","CABA"
"Fabricación de prendas de vestir; terminación y teñido de pieles","2011","1745722166.24489","CABA"
"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes","2011","640661375.90358","CABA"
